plurals.f.lemma,Base.Word,COUNT.Base.Word,,
tables,table,2,c,
taps,tap,2,c,
terrorists,terrorist,2,c,
tides,tide,2,c,
tiles,tile,2,c,
tins,tin,2,c,
titles,title,3,c,
toasts,toast,2,c,
tones,ton,2,c,
tornadoes,tornado,2,c,
traces,trace,2,c,
treasures,treasure,2,c,
trips,trip,2,c,
troops,troops,2,c,
twins,twin,2,c,
units,unit,2,c,
vaccines,vaccine,2,c,
vans,van,2,c,
venues,venue,2,c,
viruses,virus,3,c,
volcanoes,volcano,2,c,
waitresses,waitress,2,c,
wars,war,2,c,
weaknesses,weakness,2,c,
wildernesses,wilderness,2,c,
wins,win,2,c,
winners,winner,2,c,
winters,winter,2,c,
witches,witch,2,c,
witnesses,witness,2,c,
