"","Base.Word","Level","Part.of.Speech","plurals.f.lemma"
"242","station","A1","noun","stations"
"245","street","A1","noun","streets"
"246","student","A1","noun","students"
"247","subject","A1","noun","subjects"
"248","subway","A1","noun","subways"
"249","sugar","A1","noun","sugars"
"250","summer","A1","noun","summers"
"251","sun","A1","noun","suns"
"252","sunday","A1","noun","sundays"
"253","supermarket","A1","noun","supermarkets"
"256","taxi","A1","noun","taxis"
"257","tea","A1","noun","teas"
"258","teacher","A1","noun","teachers"
"259","television","A1","noun","televisions"
"260","tennis","A1","noun","tennis"
"261","test","A1","noun","tests"
"262","thing","A1","noun","things"
"263","thursday","A1","noun","thursdays"
"264","ticket","A1","noun","tickets"
"265","time","A1","noun","times"
"266","today","A1","noun","todays"
"267","toilet","A1","noun","toilets"
"268","tomato","A1","noun","tomatoes"
"269","tomorrow","A1","noun","tomorrows"
"271","town","A1","noun","towns"
"272","train","A1","noun","trains"
"273","tree","A1","noun","trees"
"274","tuesday","A1","noun","tuesdays"
"275","tv","A1","noun","tvs"
"276","university","A1","noun","universities"
"277","vacation","A1","noun","vacations"
"278","vegetable","A1","noun","vegetables"
"279","village","A1","noun","villages"
"280","waiter","A1","noun","waiters"
"282","wall","A1","noun","walls"
"283","watch","A1","noun","watches"
"284","water","A1","noun","waters"
"285","weather","A1","noun","weathers"
"286","wednesday","A1","noun","wednesdays"
"287","week","A1","noun","weeks"
"288","weekend","A1","noun","weekends"
"290","wind","A1","noun","winds"
"291","window","A1","noun","windows"
"295","word","A1","noun","words"
"296","work","A1","noun","works"
"297","world","A1","noun","worlds"
"298","writing","A1","noun","writings"
"299","year","A1","noun","years"
"300","zoo","A1","noun","zoos"
"301","accident","A2","noun","accidents"
"302","activity","A2","noun","activities"
"303","actor","A2","noun","actors"
"304","adjective","A2","noun","adjectives"
"305","adventure","A2","noun","adventures"
"306","adverb","A2","noun","adverbs"
"307","advertisement","A2","noun","advertisements"
"309","air","A2","noun","airs"
"310","airplane","A2","noun","airplanes"
"311","airport","A2","noun","airports"
"312","album","A2","noun","albums"
"313","alcohol","A2","noun","alcohols"
"314","answer","A2","noun","answers"
"315","apartment","A2","noun","apartments"
"316","appointment","A2","noun","appointments"
"317","area","A2","noun","areas"
"318","armchair","A2","noun","armchairs"
"319","art","A2","noun","arts"
"321","aunt","A2","noun","aunts"
"322","baby","A2","noun","babies"
"323","back","A2","noun","backs"
"324","backpack","A2","noun","backpacks"
"326","balloon","A2","noun","balloons"
"327","bandage","A2","noun","bandages"
"330","barbecue","A2","noun","barbecues"
"331","battery","A2","noun","batteries"
"332","bear","A2","noun","bears"
"333","beginner","A2","noun","beginners"
"334","beginning","A2","noun","beginnings"
"336","bicycle","A2","noun","bicycles"
"337","bill","A2","noun","bills"
"338","biology","A2","noun","biologies"
"339","birth","A2","noun","births"
"340","black","A2","noun","blacks"
"341","blackboard","A2","noun","blackboards"
"342","blanket","A2","noun","blankets"
"343","block","A2","noun","blocks"
"344","blood","A2","noun","bloods"
"345","blue","A2","noun","blues"
"346","board","A2","noun","boards"
"347","body","A2","noun","bodies"
"351","bottom","A2","noun","bottoms"
"352","bowl","A2","noun","bowls"
"353","box","A2","noun","boxes"
"354","boyfriend","A2","noun","boyfriends"
"355","bracelet","A2","noun","bracelets"
"356","brain","A2","noun","brains"
"357","break","A2","noun","breaks"
"358","bridge","A2","noun","bridges"
"359","brown","A2","noun","browns"
"360","brush","A2","noun","brushes"
"361","building","A2","noun","buildings"
"362","burger","A2","noun","burgers"
