plurals.f.lemma,Base.Word,COUNT.Base.Word
flights,flight,1
fogs,fog,1
folders,folder,1
forests,forest,1
forks,fork,1
forms,form,1
garlics,garlic,1
gates,gate,1
gifts,gift,1
girlfriends,girlfriend,1
goals,goal,1
graduates,graduate,1
grams,gram,1
grammars,grammar,1
granddads,granddad,1
granddaughters,granddaughter,1
grandfathers,grandfather,1
grandmas,grandma,1
grandmothers,grandmother,1
grandpas,grandpa,1
grandparents,grandparent,1
grandsons,grandson,1
grays,gray,1
greens,green,1
guests,guest,1
guides,guide,1
guidebooks,guidebook,1
guys,guy,1
gyms,gym,1
halfs,half,1
halls,hall,1
headaches,headache,1
hearts,heart,1
heats,heat,1
helicopters,helicopter,1
helps,help,1
highways,highway,1
hills,hill,1
ids,id,1
ideas,idea,1
identifications,identification,1
insects,insect,1
instruments,instrument,1
invitations,invitation,1
islands,island,1
its,it,1
jams,jam,1
keyboards,keyboard,1
kicks,kick,1
kids,kid,1
kilos,kilo,1
kilograms,kilogram,1
kilometers,kilometer,1
kings,king,1
kites,kite,1
lakes,lake,1
lamps,lamp,1
laptops,laptop,1
leathers,leather,1
lefts,left,1
lemons,lemon,1
lemonades,lemonade,1
levels,level,1
lifts,lift,1
lights,light,1
lines,line,1
lions,lion,1
lists,list,1
liters,liter,1
luggages,luggage,1
lunchtimes,lunchtime,1
machines,machine,1
magazines,magazine,1
mails,mail,1
managers,manager,1
maps,map,1
marks,mark,1
markets,market,1
maths,math,1
mechanics,mechanic,1
medicines,medicine,1
meetings,meeting,1
melons,melon,1
members,member,1
menus,menu,1
meters,meter,1
mirrors,mirror,1
mistakes,mistake,1
models,model,1
moments,moment,1
monkeys,monkey,1
mosques,mosque,1
motorcycles,motorcycle,1
mountains,mountain,1
mugs,mug,1
mushrooms,mushroom,1
natures,nature,1
necks,neck,1
necklaces,necklace,1
neighbors,neighbor,1
noons,noon,1
notebooks,notebook,1
nouns,noun,1
nurses,nurse,1
occupations,occupation,1
oceans,ocean,1
offers,offer,1
offices,office,1
oils,oil,1
omelets,omelet,1
onions,onion,1
operas,opera,1
orders,order,1
pains,pain,1
painters,painter,1
paintings,painting,1
pajamas,pajamas,1
partners,partner,1
passengers,passenger,1
passports,passport,1
paths,path,1
pears,pear,1
peppers,pepper,1
perfumes,perfume,1
photographs,photograph,1
photographers,photographer,1
physics,physics,1
pianos,piano,1
pillows,pillow,1
pilots,pilot,1
pinks,pink,1
plastics,plastic,1
platforms,platform,1
plays,play,1
playgrounds,playground,1
plurals,plural,1
pockets,pocket,1
pools,pool,1
postcards,postcard,1
posters,poster,1
practices,practice,1
presents,present,1
presidents,president,1
principals,principal,1
printers,printer,1
prizes,prize,1
programs,program,1
projects,project,1
purples,purple,1
puzzles,puzzle,1
rabbits,rabbit,1
races,race,1
rackets,racket,1
railroads,railroad,1
raincoats,raincoat,1
reasons,reason,1
receipts,receipt,1
receptionists,receptionist,1
reds,red,1
rents,rent,1
rests,rest,1
restrooms,restroom,1
rights,right,1
rings,ring,1
rocks,rock,1
roofs,roof,1
roommates,roommate,1
rulers,ruler,1
runners,runner,1
sailings,sailing,1
salads,salad,1
salespersons,salesperson,1
sauces,sauce,1
sausages,sausage,1
schedules,schedule,1
sciences,science,1
scissors,scissors,1
scooters,scooter,1
screens,screen,1
seas,sea,1
seats,seat,1
seconds,second,1
semesters,semester,1
sets,set,1
shampoos,shampoo,1
ships,ship,1
shops,shop,1
shorts,shorts,1
shows,show,1
signs,sign,1
singers,singer,1
singulars,singular,1
sinks,sink,1
sites,site,1
sizes,size,1
skates,skate,1
skateboards,skateboard,1
skiings,skiing,1
slices,slice,1
snacks,snack,1
snakes,snake,1
sneakers,sneaker,1
soaps,soap,1
soccers,soccer,1
socks,sock,1
sofas,sofa,1
softwares,software,1
songs,song,1
sorts,sort,1
souls,soul,1
sounds,sound,1
spaces,space,1
speakers,speaker,1
spellings,spelling,1
spoons,spoon,1
springs,spring,1
squares,square,1
stadiums,stadium,1
staffs,staff,1
stages,stage,1
stairs,stairs,1
stamps,stamp,1
steaks,steak,1
stomachs,stomach,1
stomachaches,stomachache,1
suitcases,suitcase,1
sunglasses,sunglasses,1
superlatives,superlative,1
surprises,surprise,1
sweaters,sweater,1
swims,swim,1
swimsuits,swimsuit,1
teams,team,1
teenagers,teenager,1
telephones,telephone,1
temperatures,temperature,1
texts,text,1
textbooks,textbook,1
theaters,theater,1
thunderstorms,thunderstorm,1
ties,tie,1
tights,tights,1
tires,tire,1
toes,toe,1
toothaches,toothache,1
tops,top,1
tours,tour,1
tourists,tourist,1
towels,towel,1
toys,toy,1
trams,tram,1
types,type,1
umbrellas,umbrella,1
uncles,uncle,1
uniforms,uniform,1
uses,use,1
verbs,verb,1
videos,video,1
views,view,1
violins,violin,1
visitors,visitor,1
volleyballs,volleyball,1
walks,walk,1
wallets,wallet,1
ways,way,1
weekdays,weekday,1
wheels,wheel,1
whites,white,1
woods,wood,1
wools,wool,1
workbooks,workbook,1
workers,worker,1
yards,yard,1
yellows,yellow,1
yogurts,yogurt,1
accents,accent,1
accounts,account,1
accountants,accountant,1
aches,ache,1
achievements,achievement,1
actions,action,1
admissions,admission,1
advantages,advantage,1
aims,aim,1
airlines,airline,1
alarms,alarm,1
alphabets,alphabet,1
ambitions,ambition,1
